x,px,y,py
0.0,15.9221579209744,0.227901684,26.43155385
0.576884063,26.47941132,0.294626872,27.81751306
0.608405401,27.79316817,0.348514208,28.49348245
0.729468756,26.98149858,0.43464031,29.06416542
0.823742333,24.00479875,0.477690357,29.27855301
0.924917095,21.34763422,0.533389687,29.17409888
1.0,18.8314758220083,0.584246917,29.31781
,,0.609662527,29.31871166
,,0.616375144,28.60941544
,,0.642833301,28.96512127
,,0.6712335,29.24994256
,,0.699588183,29.28642521
,,0.704410777,28.93182912
,,0.740644168,29.28788174
,,0.804176691,29.25465895
,,0.824698182,29.21991027
,,0.8344279,28.97191842
,,0.856949953,29.18557774
,,0.945520948,27.09559356
,,0.97332293,24.11653554
,,0.993356742,21.42101567
,,1.0,18.4
