x,px,y,py
0.2856910002046959,5.328347346155887,-0.0012736632222163924,3.484189138988498
0.32912064168366156,5.570722424812171,0.10119557553656855,5.337369127313252
0.5463181277150633,7.418292229896213,0.11826493711287839,5.532133461710501
0.752723592336793,10.048785850208109,0.2160830307119626,7.385540889896369
0.7946483400680806,10.878031583815385,0.3511709362182816,10.019521921411947
0.8537296346557701,13.026731765009139,0.3899987111741204,10.897818851731959
0.9345807146160436,16.00566325254165,0.46302965057656004,12.99693714320372
0.9441066541322032,18.890283011000513,0.5919577265111484,16.169116699392738
0.9845454614375717,20.550897250252085,0.6944951972282662,18.902488950213417
,,0.7519919941168891,20.61116881344625
,,1.00526902344905,27.884847198319985
